"Round",1,2,3,4,5
10,0.2260990191139683,0.1349752326228955,0.07487194047004117,0.04531706082055126,0.03346157738856893
20,0.20253169930290912,0.11924150742082033,0.06956829122257897,0.043207136611316595,0.03303678300962365
30,0.18921072865634378,0.11336558523553047,0.06891315271472571,0.04228979173146935,0.034545199858851
40,0.46800405271950724,0.3434562304066242,0.21548530536486143,0.14096547991729164,0.09330415256915882
50,0.4227155243087491,0.3054819325337333,0.18544271773451326,0.11192060473869134,0.07161987524278819
60,0.3564803778844296,0.2295317287647981,0.1294251434083561,0.07867923619228596,0.04571298371991774
70,0.28954972385316874,0.16506854295979126,0.08510305657258711,0.049919895512399295,0.03444308032219644
80,0.3121847195482494,0.19710792700742538,0.11072920679903928,0.0641437777587188,0.03874775752248278
90,0.30874407885035793,0.17907210345336785,0.09577820899282043,0.05486341765874425,0.036053901597993473
100,0.27351111768901365,0.15967019697804205,0.09002035004390635,0.052372083022105345,0.033396880938118136
110,0.14672816337168346,0.09759812976242226,0.061149841755591884,0.042036836978939805,0.031935476176612694
120,0.2795904763788539,0.14731114091463454,0.0748005233833552,0.04614174763671199,0.03335955988675173
130,0.3749625110203489,0.22741397972119545,0.12105279593253099,0.07288430608411044,0.04463560036414156
140,0.34676516793831547,0.23597360835415346,0.14061060171881273,0.08142920304640952,0.05440056712141058
150,0.285563309601295,0.1933760926327949,0.11760562527439904,0.06303450850861032,0.04242802605897699
160,0.21744143730953114,0.16209052771924248,0.09668131414871896,0.05485969732555146,0.03583340911643463
170,0.11014996256070188,0.08868493509047824,0.061441378912044924,0.04029180025966621,0.032704591320949904
180,0.1581277457941898,0.10685901635361668,0.07062741765101753,0.04864768033198152,0.03373626211253675
190,0.13523578795689067,0.09546732392922344,0.06587699286139576,0.044896846175707286,0.03163155270074501
200,0.11477929613074422,0.08670365687885065,0.061298595962537894,0.04138352403577516,0.03172485939081478
210,0.10269174465312361,0.08192958529748573,0.06123956383706094,0.04189847577292683,0.0327116619105401
220,0.11518928796925867,0.08929914148668099,0.05861478874365655,0.04096280967748873,0.03184770031785241
230,0.08838564365889366,0.08181041261742827,0.05643976788369863,0.03839171948669164,0.03234788119414738
240,0.18667755014822218,0.11399201037653489,0.06842370859804356,0.04246237630945854,0.03119803228188022
